=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.05 20:19:59 =~=~=~=~=~=~=~=~=~=~=~=
*** Booting Zephyr OS build v4.2.0-rc3-35-g72dc0e5f0af9 ***
Timers started
=== SERIES 1 ===
100us;891332
200us;913978
500us;958545
1000us;1046722
5000us;1728160
10000us;2691955
100us;925658
200us;941722
500us;1050902
1000us;1212131
5000us;2701596
10000us;4238323
100us;948433
200us;975306
500us;1134948
1000us;1383372
5000us;3395355
10000us;5917819
100us;963643
200us;1040959
500us;1222175
1000us;1547420
5000us;4246676
10000us;7594603
100us;986728
200us;1059432
500us;1319512
1000us;1733218
5000us;5083499
10000us;9274603
100us;1008764
200us;1105979
500us;1387254
1000us;1882745
5000us;5925727
10000us;10969473
100us;1042063
200us;1126522
500us;1507217
1000us;2050542
5000us;6777222
10000us;12641580
100us;1044995
200us;1178654
500us;1554917
1000us;2256732
5000us;7602997
10000us;14331914
100us;1068183
200us;1195865
500us;1642216
1000us;2440686
5000us;8442997
10000us;16030378
100us;1079729
200us;1237771
500us;1739922
1000us;2711190
5000us;9291481
10000us;17674603
100us;1091850
200us;1260899
500us;1831754
1000us;2831392
5000us;10136328
10000us;19355354
100us;1109289
200us;1316009
500us;1899138
1000us;2919238
5000us;10970934
10000us;21038872
100us;1118467
200us;1337822
500us;1983342
1000us;3065221
5000us;11825631
10000us;22714603
100us;1136548
200us;1366608
500us;2082125
1000us;3227005
5000us;12645280
10000us;24424530
100us;1164754
200us;1407319
500us;2151357
1000us;3407052
5000us;13499978
10000us;26134141
100us;1193069
200us;1428932
500us;2259174
1000us;3570942
5000us;14343805
10000us;27754633
100us;1193656
200us;1463743
500us;2318994
1000us;3778225
5000us;15191564
10000us;29435606
100us;1206361
200us;1513207
500us;2453581
1000us;3906942
5000us;16040828
10000us;31141341
100us;1227198
200us;1531637
500us;2567153
1000us;4074992
5000us;16856220
10000us;32804155
100us;1247626
200us;1566692
500us;2712704
1000us;4250431
5000us;17682972
10000us;34502782
100us;1276038
200us;1597709
500us;2790564
1000us;4415424
5000us;18554618
10000us;36164574
100us;1292279
200us;1632112
500us;2832259
1000us;4586178
5000us;19375470
10000us;37868482
100us;1322959
200us;1664187
500us;2853354
1000us;4787278
5000us;20207730
10000us;39517531
100us;1330834
200us;1707279
500us;2929885
1000us;4934304
5000us;21047284
10000us;41194603
100us;1345325
200us;1742103
500us;3009188
1000us;5093404
5000us;21889314
10000us;42909595
100us;1356803
200us;1765939
500us;3067397
1000us;5259342
5000us;22742243
10000us;44584817
100us;1371298
200us;1831141
500us;3186959
1000us;5439192
5000us;23591589
10000us;46248348
100us;1397155
200us;1836281
500us;3236689
1000us;5595342
5000us;24438080
10000us;47919663
100us;1414231
200us;1865747
500us;3352898
1000us;5786241
5000us;25279472
10000us;49594603
100us;1435723
200us;1902709
500us;3411206
1000us;5934057
5000us;26137747
10000us;51275454
100us;1452704
200us;1932897
500us;3523305
1000us;6099342
5000us;26967585
10000us;52955500
100us;1485340
200us;1966522
500us;3576279
1000us;6267342
5000us;27775325
10000us;54636020
100us;1519182
200us;2004028
500us;3690811
1000us;6437266
5000us;28622631
10000us;56332399
100us;1525729
200us;2033938
500us;3799076
1000us;6630186
5000us;29448406
10000us;58005306
100us;1538684
200us;2083893
500us;3851031
1000us;6778822
5000us;30286541
10000us;59708604
100us;1560670
200us;2100897
500us;3912761
1000us;6984989
5000us;31148294
10000us;61356562
100us;1574413
200us;2150972
500us;4019346
1000us;7109531
5000us;32026161
10000us;63051183
100us;1588497
200us;2168097
500us;4083365
1000us;7275342
5000us;32817047
10000us;64718401
100us;1613067
200us;2235958
500us;4167392
1000us;7447004
5000us;33756023
10000us;66396373
100us;1622122
200us;2279885
500us;4254240
1000us;7618976
5000us;34525974
10000us;68079071
100us;1652383
200us;2298036
500us;4335578
1000us;7884008
5000us;35323032
10000us;69760986
100us;1666010
200us;2314744
500us;4432017
1000us;8000515
5000us;36171786
10000us;71440492
100us;1689870
200us;2336097
500us;4503342
1000us;8139344
5000us;37040906
10000us;73115202
100us;1713681
200us;2371646
500us;4588482
1000us;8293183
5000us;37885029
10000us;74802415
100us;1734879
200us;2466470
500us;4698081
1000us;8451771
5000us;38708533
10000us;76482823
100us;1752705
200us;2505498
500us;4790662
1000us;8638948
5000us;39545274
10000us;78165752
100us;1757760
200us;2532112
500us;4839342
1000us;8825583
5000us;40384803
10000us;79837159
100us;1779846
200us;2602116
500us;4940245
1000us;8986645
5000us;41205602
10000us;81522897
100us;1798535
200us;2672694
500us;5022946
